Text,True Sentiment,IBM Watson Sentiment,IBM Watson Confidence,IBM Watson Response Time (s)
madrid able see screener copy film wow gallo amazing unusual performance gives aside gallos genius film however dull film ever seen life times poorly done borders laughable also val kilmer fan part reason made grand effort view film problem val really one scene name cast lead insult intelligence rest cast seen stranded directors films films far far average contain interesting vincent gallo performances much gallo fan see film regardless bad like gallo zero left love,Negative,negative,-0.970145,1.894594430923462
impressed production likely levels production plot character developmentbr br definitely fall realism genre since nothing going makes use creative imagination twists manipulating audience viewer shall feel think assesbr br actors great especially little ones chemistry brother sister mind blowing maybe even common real life movie excellent literally watch visualizing one knows movie good one want end eventually everything,Positive,positive,0.8391,0.41985034942626953
want gore nothing gore torture youve come right movie want least sliver good acting logic story consistencies even good guy ending go elsewherebr br couldnt help think jeeeez people mentally challenged example chased around seeing people mutilated main actress meets police officer spills story cop tears everything told psychopath drives yellow truck yellow truck pulls officer walks talks guy truck drives without trouble actress comes says didnt arrest truck runs police officer rammed truck stops road feet way standing actress tries drag cop away hes heavy time time truck backs runs cops leg twice truck drives didnt actress get gun beyond later shoots cop head twice psychopath burn alive mouth didnt kill duuuumb twice finish job roll eyes right turns away escape bathroom going explode climbs near roof turns around cop isnt anymore okbr br another example main actress meets trapped woman bathroom spits like gallon blood floor covering room probably main actress goes outside grab towel comes back everything gone dont explain everyone keeps disappearing either dumb dumb dumbbr br like horrorthrillergore movies one way dumb lost brain cells watching dribble shouldnt,Negative,negative,-0.994117,0.6154401302337646
untom jerry short jerry narrates tale revolves around tom cat falling love losing rival butch tom best friends jerry irked bit cartoon also presented cinemascope overall found tom jerry cartoon sad depressing put puss gets boot dvd instead wouldve happy experimental animated short found disc warner brothers dvd spotlight collection set last one set im hoping warner brothers chooses release second volume soonbr br grade c,Negative,negative,-0.991207,0.36408352851867676
lion king cute story go along lion king basically follows original story lion king couple twists moviee vents explained different characters point view story still original plotbr br far sequels go disney isnt great making worthwhile ones one third part lion king simbas pride second actually original idea still involving fun first timon pumbaa travel along looking ideal place live searching far wide find place hakuna matata meet small lion named simba go many things parents today go throughbr br think good movie im happy add collection,Positive,positive,0.988789,0.3803548812866211
little research making film something simple google search funded us army promoted time elections great idea id much rather see documentary something edited bush administration told reality timing movies release tone fact msl promoted raised questions intent movie according msl managing director joe gleason colleagues also deliver key targeted messages war iraq specific constituencies wrote eartha melzer leftleaning art house crowd one constituencies government hiring documentary filmmakers propagandize us population nobody involved film willing say initially put money film ended represented armys pr firm,Negative,negative,-0.952419,0.31565237045288086
usually spend almost much time writing reviews watching film today die feel would criminal waste timebr br five minute rant bad film isbr br time mids single look steven seagal enough crack ribs full scowl could knock feet actually got hold would snap like twigbr br days although still capable considerable damage longer looks part hes gone seed doesnt know call quits walks like hes dumped pants yet somehow still manages look constipated put weight trademark long ponytail gone hair still looks stupid man keeps working movie industry beyond mebr br today die usual seagal mix bone crunching fights car crashes gun battles pyrotechnics seagal mumbles way dull script delivering lines zero enthusiasm believability thirdrate action flick plays harlan banks thief trying go straight conned partaking robbery gets caught goes jail escapes seeks revenge yawnbr br pretty good car chases gun fights intersperse boring stuff lot reading comments imdb revealed actually borrowed better movies seagal also bodydoubled awful lot onebr br seagal turns one dreadful performances careerand thats saying something considering lousy acting recent efforts hilarious totally embarrassing attempt ebonics african american street slang da man fo shono actually steven sound like arse ridiculous script plot lines go nowhere film waste time money effort final moment harlan banks saves childrens home closure enough make blow chunksbr br damn looked clock enjoying trashing steaming pile dreck much went way five minutes time post comment get watching something decent,Negative,negative,-0.975813,0.32019734382629395
cast actors actresses columbo episode beside peter falk julie newmar jeannette nolan martin landau twins anyway old uncle dies mysteriously looks like heart attack bicycle discovered fianc julie newmar plays role deliciously jeannette nolan plays woman house housekeeper prides talents chides columbos sloppy often typical behavior cigar martin landau plays identical twins one accuse murdering uncle money well youll watch see outcome assure always worth watching one cast crew,Positive,negative,-0.9108,0.3410532474517822
movie advertised comedy far serious trailers made dont get wrong enjoyed movie expecting laughs great performances robin williams laura linney worth seeing dont go expecting rolling floor movie left wondering would like robin williams character real person running president would elect comedian doubt unfortunately kind stark honesty something greatly lacking today movie adding dvd library soon comes dvd movie heart,Positive,positive,0.349093,0.3249232769012451
years old saw first saw film theater vivid memory different ending completely different significantly watched movie last night wrong guess following cant called spoiler since never happened ending remember boy hiding house completely naked frances austen found quite easily confronted slowly sank knees went camera face frame pretty obvious letting happen albeit nothing like showed movie sandy dennis years old made movie michael burns movie complains sister frances makes big deal sex yeah well go bed dude get wtf,Positive,negative,-0.979024,0.31228089332580566
show amazing love every episode carrie spitfire doug lovable times moron arthur spence danny deacon carries boss add nice end touch show tying funny pee pants moments one seasons doug tries get carrie drunk nicer drunk nice husband right carrie isnt much better boss needs ips driver testify small case job carrie hesitates views doug slob doesnt want embarrass hires dougs friend instead wife year believe funniest yellatrandom arthur dropdead hilarious angry hey would live basement mold funny smell makes dizzy show hilarious havent seen yet havent lived,Positive,negative,-0.835994,0.5271427631378174
laughed one little movies always recommending friends seeking something ordinary firmly rooted screwball romance traditions past seems contemporary even decidedly early atmosphere doesnt date much bogdanovich wisely keeps whole enterprise light feet reality never brings crashing earth said sort sweet little movie absolutely relies actors keep going tal blessed dream cast understand requirements sort tale movie wouldnt linger long memory werent little moments provided excellent cast colleen camps simultaneously shouting orders john ritter dog blaine novak unleashing hair hat especially moment dorothy stratten falls john ritter says howweird piece fluff one doesnt want lay much fear crushing certainly leave one light heart smile ones face,Positive,negative,-0.744659,0.34401726722717285
one dishonest meaningless nonpeaceful films ever seen representation israelis racist backward unfair one song played es car radio pulled alongside rightwing israeli driver put spell natacha atlas songs style quite arabic released israeli compilation cd even heard radio israel many israeli songs well architecture foods slang influenced arabic culture reason israeli jew would offended angered nearby car playing song way es appears calm collected sunglasses cool glare via long still shot meant force viewer seeing jew haggard racist es noble temperatebr br traveled israel never seen idf recruitment poster since service mandatory film recruitment poster depicts stereotypical image arab terrorist words want shoot extremely inaccurate depiction mentality majority israelis well israeli soldiers advertisement wouldnt even exist random israeli highway including director aims convince audience israel society antiarab racists hellbent murderbr br ninja scene gratuitous needlessly violent hollywoodstyle action scene involving israeli soldiers shooting palestinians would unwelcome israelidirected film ninja scene reason images unrealistic noncomic violent scenario manage elicit applause audience since director smeared israeli side much beforehand shot israeli soldiers killed would welcome director shows absolutely attempt building bridges portraying human working towards peace violence made solution furthered scenes exploding tanks falling guard towers random acts destruction one best friends serves israeli military targets firing ranges never arab women dressed black quasicivilian canvas soldiers checkpoints instructed fire head approaching palestinian unless clear lives danger method according friend provide warning shout fire air around area else fails shoot leg interrogate hospitalize arbitrarily targeting woman head shown film proper procedurebr br besides inaccuracies directing style also poor repetition became repetitious longer captivating symbols balloon arafat drawn forced outside plot structure effective integration setting balloon palestine penetrating regaining jerusalem created reason es ambulance checked permits israeli soldiers followed subsequent israeli ambulances flying past checkpoint overlyovert claim israeli double standard director attempt director show life nazareth dreary pointless done overkill showing routines random people even slight change time emphasizing one member cast ever smiles minimalist dialogue almost screams purpose scenes dreariness life without allowing much room personal interpretation contrasting one section movie daily life nazareth second section checkpoint ramallah israel director subtly blames dreariness israel never provides direct evidence blame properly arguedbr br spent hours trying figure music ended abruptly began abruptly many modern fashionshowlike metalaction tracks included score still come answer felt music place film contrast silent scenes intense scenes actually annoying affecting thoughtprovoking understand director intended music provide comic aspect certain scenes found nothing comic found israeli soldiers shooting targets fighting ninja woman suffer another walk checkpoint albeit defiantly fact tempted close ears intense scenes annoyed lack score quiet scenes whatever directors intent provided audial displeasure throughout filmbr br film legitimate political message provides inaccurate extreme representation neglects actually address issues propaganda film director intends various symbols styles scenes draw sympathy palestinian side displaying israeli side cruel inhuman without exception vibrant atmosphere actionpacked hollywood scene intense music displayed every act violence palestinians israelis almost inevitably positive thrilled feelings music cinematography elicit audience directed one side thought reflection deepening understanding conflict audience emotions simply pulled one side kept good vs bad clich scenario believe film lacked depth quality power palestinian films paradise wedding galilee,Negative,negative,-0.830355,0.3741793632507324
mummys curse last series kharis mummy films seems creativity run somewhat dry time made one kharis mate ananka end bayous louisiana resurrection searches beloved princess end louisiana isnt made entirely clear various people trying find viewer assured mummy murdersbr br mummys curse watchable really wasnt anything special feeling throughout movie id seen quite frankly apart original mummy boris karloff mummy movies favorites among old universal horrors theyre bad get bit repetitivebr br great scenes movie scene ananka coming life swamp instance overall didnt much mebr br worth seeing want completest see mummy movies otherwise might want pass one,Negative,negative,-0.983268,0.33681273460388184
one favorite shows back recall went air friday possibly saturdaynight nine network australia darren mcgavin simon oakland great togetherbr br episode usually reached climax kolchack engage hand hand combat sort supernatural opponent credit writers made concerted effort get away usual round vampires ghosts much possiblebr br remember one episode adversary spirit ancient indian chief whichwho came back massive electrical current started kill people city hospital final showdown saw kolchack trying short circuit power beast amidst explosion sparks billowing flames oh well time interesting ideabr br mcgavin always packed lot energy enthusiasm roles one bestbr br definitely deserves place tvs hall fame quote tony vincenzo kolchack case hall famein,Positive,negative,-0.724229,0.33761167526245117
ah yes vs series mvc pinnacle said get half crew fell asleep job unfortunately gameplay half dont get wrong fun get tired mashing buttons plot summary ahahahahahaaaaa plot beat guy end win eh plays self anyway,Negative,negative,-0.897033,0.32027721405029297
blind date columbia pictures decent film issues film first dont fault actors film less problem script also understand film made people looking escape reality script made ann sotherns character look weak kept going back forth suitors felt though stayed paul kellys character end truly care family would done anything giving end fickle neil hamilton opinion good time paul kellys character although workaholic man integrity truly loved kitty ann sothern opposed neil hamilton like lot didnt see depth love character production values great script could used little work,Negative,positive,0.464796,0.3003573417663574
im certainly glad film made carl brashears amazing life story coming civil rights era brashear became inspiration people minority groups willing settle status expectedbr br brashear played cuba gooding jr leads example conduct life chosen similar jackie robinson integrated baseball made stick character conduct brashear gooding knows want sharecropper life father carl lumbly lumbly makes real clear get life hes gottenbr br harry truman integrated armed services world war ii navy still restrictions black man cook officers valet real fighting parts denied thats good enough gooding applies become navy deep sea diverbr br diving school bayonne new jersey gooding gets thrown mostly master chief petty officer charge robert deniro deniro may leftover prejudices hes nevertheless hero one inspire one get passed racial dividebr br best thing men honor chemistry deniro gooding certainly come different places get know turn men honorbr br good performances note charlize theron deniros wife hal holbrook head diving school guy navy wish would retire reasons youll seebr br men honor inspiring story people courage spare ability change,Positive,positive,0.973161,0.33101487159729004
dr lucio fulci lucio fulci director gory horror movies starting feel effect filmed many bloody scenes visits local psychiatrist see losing marbles proves bad idea since shrink actually crazy murderer responsible spate grisly killings seizing opportunity make fulci fall guy loopy nut doctor hypnotises horror hack thinking responsible recent series murdersbr br surface cat brain appears fantastically gory treat spaghettisplatter god lucio fulci chock full chainsaw dismemberment axe attacks various bloody killings film certainly spills enough claret even hardened gorehounds one looks closer turns many gruesome scenes lifted earlier movies mostly fulcis masterpieces remove equation one left nifty basic plot idea totally wasted welcome nudity dreadful performances fulci david l thompson psycho shrinkbr br film progresses develops incomprehensible mess borrowed gore footage inserted randomly attempt working convincingly story youve seen fulcis touch death ghosts sodom mario bianchis murder secret youve already seen best bits cat brain beforebr br much bloodletting film wraps rather quickly leaving viewer feeling bewildered somewhat cheated watch film youre fulci completist would suggest seeking films good bits taken,Negative,negative,-0.994061,0.36083459854125977
lightheated cassaveteslove story pleasantly conveyed two wonderful performances gena rowlands seymour cassell rowlands never beautiful repressed damaged mids woman meets match seymour cassell powderkeg energy romantic notions terms br br great supporting performance val avery zelmo swift unusual always timothy carey thats worth price admission made husbands woman influence cass accessible film touch heart anyone especially cassavetes haters claim films long ponderously heavy times made top ten year seen enough people,Positive,positive,0.759915,0.3649892807006836
bad made seen much worse still lame movie basically rehash siegels coogans bluff main difference clint eastwoods hat charisma whole joe baker unappealing actor onebr br however venantino venantini great great fun bad guy sort budget vittorio gassman main reason sit steampile rest cast deliver mostly terrible acting specially girl poor old rossano brazzi hard believe romantic lead watch mondo cane see running away women looking like secondtier ben gazzara hes given next nothing joe dons show unfortunately scored generic action movie music couldnt boringbr br greydon clark make good bmovies without warning trips falls breaks nose loses three teeth well least malta locations nice theres venantini try save day,Negative,negative,-0.994137,0.30171656608581543
