Text,True Sentiment,OpenAI Sentiment,OpenAI Response Time (s)
good spanish movie worried many feel lost many around world idea spanish civil war fought history teacher big advantage could easily see film could confusing piece together pieces doubt would big concern spain film made audiences may bit confused later filmbr br movie begins yearold carol mother returning mothers home town years passed gather coming spain new york city despite strangeness carol speaks reasonably good spanish much film adapts mother alone ill spill dont pick fact carols father fighting war side republicans eventually lost bloody conflictbr br movie gets exceptional marks lovely camera work music rather slow rambling pace isnt bad provided someone accept films way seen several spanish films war compares pretty well themnot better worsejust decent slice life film left behind well nice coming age flickbr br psif dont know side republicans mostly socialists backed soviet union mexico well volunteers many countries including usa nationalists led franco aided portugal fascist states germany italy,positive,negative,0.5169920921325684
generally find loretta young hard take concerned looks ladylike wrong ways lyrical frank borzage romance even though shes playing lowselfesteem patsy puts entirely much bullying paramour spencer tracy shes direct honest irresistible odd little movie played mostly oneroom shack hooverville unusually upfront depression yet romantic idealized tracy playing blustery hardtotake regular guy would awful chauvinist bully todays standards softens characters hard edge almost makes appealing theres good supporting work marjorie rambeau glenda farrell never got far jo swerlings screenplay modest efficient real heroes borzage always liked dramatize true love lyrical closeup young sort want slap tell character wise shes good guy shes dewy persuasive contentedly watch story play satisfying conclusion,positive,positive,0.3411405086517334
saw dreamgirls yesterday really underimpressed despite oscar buzz nothing special anyone really impressed film never bothered see true movie musical classics except eddie murphys great musical dramatic performance dreamgirls glorified tv movie style flair bunch amateurs singing otherbr br first half hour good irritated eddie murphys terrific raveup performances truncated interrupted montages easily best songs best performances film rise top portion film part film consistent point view momentum remaining hour minutes formless rambling mess neither realistic fantastic enough interesting also visually dull included many soundalike tunesbr br condon didnt try turn tunes big show pieces id expected would number nd half one closeup another people singing way shot hudsons big love number criminal condon shot stomping around stageno drama god suckedbr br note involvedthat singtalking dialog stuff might work stage work movies see embarrassing failures evita phantom ill teeeell youuuu something efffieeee crap left editing room floor arent songsbr br filmexcept eddie murphys amazing performancewas nothing glorified tv movie must megabucks behind pr work film wonder much money spent give prerelease one beat oscar buzz whole film except eddie nowhere near oscar caliber movie except eddie id rank right grease big disappointment especially expenive hype,negative,negative,1.2940151691436768
shtrafbat story russians could tell second world war largest front whole conflict ironically least appearing subject silver screen war western allies wareffort pictured almost every possible detail manner east left job left old propaganda movies little else historical footage valuebr br chance shtrafbat could compete band brothers every detail neither want look screen examining petty visual effects mind soldiers russians enough big reason forgive less eyecaptivating battle scenes concentrate story interesting much different war eastern front nature russian army might wish people produce dramatizations fronts armiesbr br shtrafbat way perfect rare specialties augment overall rating tends crush myths people second world war true heroes russian people leaders sent missions could perish another great myth bust presents enemy pick gun equal human advancement difficult try many acclaimed films well shtrafbat shows war eastern front war survival clash isms grinds people dust,positive,positive,0.5419502258300781
style film could called guilty pleasure itd generic fantasy type guilty wrong word though im pretty pleased escapist time time stardust good stock fantasy likes one expect neil gaiman gaiman adaptation isnt visual dreamscape mirrormask isnt adult pretension pans labyrinth isnt funloving classic princess bride contains fantasylover familiarized enough completely comfortable entire viewing fantasy lovers rejoicespecial effects work finally become good enough cheap enough stuff regular production nowbr br story stardust involves young man named tristan order gain love approval beautiful girl small town wall goes adventure retrieve fallen star make things difficult however tristans fallen star actually woman named yvaine hes one looking witches greedy eyes immortality stars heart give brothers feud magic kingdom leads murderous princes directionbr br pretty predictable involves attractive fantasy elements warmhearted commentary nature love best part robert deniro gay pirate note deniros performance spoton excessive lisp actors use portray gay people surprisingly effective one someone used seen roughandgruff typecast character thus ongoing joke surrounding character matching deniros opening alternate forms acting deniro hasnt unique image since brazil thats saying somethingbr br stardust type movie perhaps subsist childrens fantasylovers shelves long time cant say offers anything new really actually familiar tropes enjoy mostbr br polarisdib,positive,positive,0.7643275260925293
first season great good mix job brother friends home actually pretty funny showbr br shows brother two hot chicks gone whole thing revolves around airline company even old man runs company gone downhill way top perfectbr br sarah mason one best looking girls hollywoodbr br happens let execs get hands show almost see meeting old man funny lets focus make way top make airline itll nutty version office anyhow hot chicks watch,negative,positive,0.2767140865325928
true stand episode season ice isan artic locationclaustrophobic conditions general feel paranoia looming freezing air makes must see episode season onethe previous occupants artic station mulderscully four others go either killed killed themselvesa virus bringing murderous aggression responsible bringing deadly paranoia fearmulder scully actually begin question others sanitytension highthe writers receive great credit creating sort scenario atmosphere tense mulder scully come conflict direct manner,positive,positive,0.3867053985595703
close experience one patient probably best reason heart rushing throughout entire film intense sensible moral revealing dont forget check marvellous sound track really good,positive,positive,0.4813649654388428
reallyand incredible film though isnt popularextremely touching almost life alteringwas leastbr br definitely worth seeing buying added favorite movie listits number one nowbr br touching movie people seebr br man moonwell incredible favorite movie saw today id recommend anyone long youre somewhat matureif dont really try feel characters emotions youll never get true meaning value moviebut really incrediblejust watch itll alter way people look lifeworth seeing,positive,positive,0.38408398628234863
somewhere inside movie halfhour episode twilight zone trying get whereas cube taut wellmade claustrophobic mindengaging im afraid cypher bloated tedious rehash several wellworn themes dont add much especially seen almost halfway decent scifi film beforebr br cypher manages drag way relatively short minutes right incompetent ending none characters spark film made technology truly cheesy difficult connect tired uninspired movie director cube bad movie definitely good onebr br youve watched grass grow paint dry bored stick insects means watch film activities probably prove stimulating,negative,negative,0.5573358535766602
