Text,True Sentiment,OpenAI Sentiment,OpenAI Response Time (s)
"Recientemente me he obsesionado anticipando la película mucho casi veo bien visto hoy calificación completamente comprensible creo que anticipar algo mucho se vuelve urgente necesidad vale la pena br br seguro colinas ojos momentos geniales historia bien desarrollada vínculos bien producto real todo autoindulgente se vuelve difícil seguir no fueron wes cravens producción película no haría nada original remake br br todo hace ir supuesto comedia de terror muchas ridículas momentos de salto colocados al azar frases estúpidas, es decir, hay una mano sher motherfuer enfermo matar malditos hijos perras dios interino ni siquiera recuerdes malo wasbr br parte de la historia contiene spoilers cuidado con la película comienza mujer dando a luz bebé mutante ooh la la pantalla se desvanece películas negras título que aparece monólogo ir a la oficina veterano de guerra colocado al azar maniquíes encontrar un científico haciendo un seguimiento gente mirando mutantes caja realizar un seguimiento de las transmisiones de audio ido todos mueren configurando el tono apertura esperarías másbr br ir un equipo reclutas militares entrenando bagdad capitán desfiles buen trabajo estupidez último día de entrenamiento familia del desierto de nuevo méxico último se quedó atascado entrenando las cosas finalmente van mal la gente muere necesita saber la capacidad de atención correcta pez de colores forzando sentarse tipo thisbr br cosa eso está mal el dosent trabajo flashbacks final bastante seguro giro estúpido estoy bastante seguro ultra súper directores cortar holográfico cubrir boleto colinas ojos escaparate finales alternativos punto estoy seguro cuidado br br significa amado primero casi pecado ver significa ver más evitar costos goodbr br",negative,negative,0.3683292865753174
creer atrocidad manejado capturar corazones mentes sección transversal brillante cosas jóvenes era estoy seguro deseo no hubiera opinión inexacta mal actuado débilmente escrito pieza pretenciosamente dirigida gumpf salidas breves realidad imaginada garrote humor situaciones de muerte exageraciones poco sutiles hacen que los personajes ya sean endebles incluso increíbles romance detestable final aburrido ruinas insatisfactorias drogas sensatas mensaje película simple trama con uña miedo odio probado extremos poco interesante película en movimiento cortometraje descarado asalto visual pista habilidad iniciativa condenar montón de cenizas historia rezar se queda,negative,negative,0.35613083839416504
títeres atrás más divertido nunca sin novia novio opinión probablemente mejor shemp flickbr br shemp oportunidad heredar probablemente millones de dólares comparado hoy tío muerto atrapar casarse con alguien día en punto shemp soltero muchos admiradores excepto uno agudo agresivo molesto canto estudiante no quiere quiere a alguien pequeñas victorias secret modelo tipo mujeres obviamente elección desde que es collin ferrel papeles impresos heredar dinero casado ex novias quiere hombre ataque de espalda br br gran película títere thewinners stooge películas br br,positive,negative,0.23691177368164062
"Maldita sea, muchos se quedaron bastante hipnotizados en todo momento bastante perfecto, aunque diría que editar mucho no puedo creer que el chico se quedara en buenos términos, mucho anton, especialmente obtener imágenes sin dandys serios, se ven bien, juntos, los niños de clase media aprovecharon la situación, con razón, se sintieron mal, jonestown, especialmente anton, tal vez no lo estaba, mucha gente se sintió una gran pieza cinematográfica. gran variedad de temas recomendados música fanático del cine probablemente aprenderás algo sobre cine",positive,negative,0.3179795742034912
parece importar ver christina ricci parece completa promesa falla entregar seguro llorar gritar nación prozac ve a ricci totalmente profundidad tal vez soy duro está bien estoy cambiando la culpa directora jessica lange escandaloso casi alcanza las alturas de faye dunaway megadramatización desafortunadamente creo que lange alcanzó su punto máximo frances cuesta abajo cada oportunidad película hábil ingenioso abordar depresión cabeza obtener en lugar de eso mal actuado histeria vestida estereotipada esforzarse mucho barniz de los ochenta realmente sentir películas telón de fondo de los ochenta desde insatisfecho cojo intento hacer creer ochenta ms ricci viste un vestido inspirado en Madonna celebración de la virginidad perdida vamos todos mejores cineastas bajan la cabeza vergüenza resultado decepción elizabeth wurtzel probablemente podría hacer paquete demandado irreparable emocional daños resultado producto terminado ir lizzie demandar,negative,negative,0.30811643600463867
veces realmente me pregunto mira comentarios parece gente vista película completamente diferente que he visto me gustó manera hecha feliz manera vista buena película br película necesita paciencia sí sí personaje principal realmente molesto estoy seguro intención br br tal vez realmente hace la diferencia ver película cine en casa gente ver películas en casa como escuchar ascensor música película definitivamente no encaja con el ruido de fondobr br buena dirección no significa cinco risas explosiones segunda buena dirección significa seguir al sujeto mantener la historia los actores juntos no funciona perfectamente al menos pensar funciona bastante bienbr br le gustaban los decorados de fotografía incluso al borde momentos surrealistas escena de apertura realmente especialbr br también le gustaba actuar guillaume depardieu jugando a pierre papel de actuación pierre jugando al papel pierre romántico héroe se esfuerza presuntuoso fariseo idiota francamente débil daña a la gente reclamos proteger incluso amor verdad simplemente pose bellamente demostrado continuo mintiendo incluso haciendo preguntas explicándosebr br gente preguntándose persona vino cosas personaje visto dos escenas dejadas sin explicar suficiente información dispersos por toda la película todos br br incluso el edificio extraño comienza tiene sentido pronto objetivo practicando visto recuerda isabelle huyó de la zona de guerra obviamente refugiados combatientes guerra civil probablemente bosnia todavía en marcha película producida menos eso es una historia insinuada isabelle le cuenta a pierre se encuentra por primera vez escena pierre muestra a isabelle libro padre cubrir rodeado libros bosnia,positive,positive,0.33331298828125
"puntuaciones de películas independientes bien valores de producción razonablemente altos excelente elenco actuación trama desigual convincente podría usarse poco desarrollo wes ramseys personajes hola chicos miran divertido, sin embargo, lugar mary kay jacqueline bisset como pastel de hielo br sorprendente lanzamiento controvertido presenta representación menos halagadora relación de la iglesia morman gays como breakback montaña tolerancia aceptar la vida encontrada exitosa transmitir un mensaje positivo moverse",positive,positive,0.255157470703125
multimillonario se casa con doctora no ha trabajado día profesión dedicada ve el día algo se le dio hermano héroe henry fonda finalmente decide algo la vida se convierte en vendedor grandes almacenes pronto despedido la gente más pobre necesita trabajo mientras tanto dr helen Hunt barbara stanwyck práctica dada cuál es el nombre br kirk fonda compra hospital en quiebra dos feliz ayudando a los demás eke existenciabr br qué escribe marido molesto el dr. Hunt dice que estás actuando como la gestapo supuesta comedia tonterías br br aburrido tedioso película poca cosa,negative,negative,0.23566985130310059
peor gente llena realmente debería saberlo mejor repartir seis premios oscar contemporáneo África hecho comercio de esclavos terriblemente guionizado actuado michael caine peter ustinov william holden alcanzar carrera bajo uno carece completamente de emoción no importa el enfoque moral también ridículamente tramado no creas que los personajes se comportarían de la manera circunstancias richard fleischer dirige recibe impresión teléfono mal recibe,negative,negative,0.32327723503112793
mucho potencial de creepshow no dedicó suficiente tiempo a perfeccionar historias bastante genial bastante espeluznante falta una buena película que hayas visto tal vez quieras ver la película podría ser mejor,negative,negative,0.3500709533691406
