Text,True Sentiment,transformers Sentiment,transformers Confidence,transformers Response Time (s)
think definitely writing quality beginner students english language model conversations dialogue example exchange paul kerseybronson ms kathryn davisdeborah raffin character later extremely clear point ms davis says hope like chicken thing know make kersey deftly responds chickens good like chicken thats english grammar dont know isbr br another thing ms davis character kersey sleeps second date practically throws tells wants see one last timethis fourth time theyve ever met moves sisters house binghamtonny get away creeps really doesnt even bat eye corpse burning street minutes later kersey never even says first name entirety film never get katy thats nice dress wearing kathryn careful katie creepsll get yabr br love developing two frakergavan oherlihy keeps everwatchful eyes almost kersey using bait get fraker much uses camera car sure enough fraker bites kersey bites back hardin incredible sequence events ever caught film final fifteen minutes possibly rivaled final thirty minutes delta force brilliance thats giving delta force lot credit film see ed lauter take alex winter order get charles bronsons back troubled gang leader seemingly calling hotline summon neonazi bikers come aid nimble broadway dancers wearing mesh haltertops posing street punks laid soundtrack written none jimmy page thats highest high comedy nothing funnybr br truthfully speaking thousand ways state unintentional comedy death wish way truly understand watch judge,positive,negative,0.9933918118476868,0.40668797492980957
im wondering watching film producers movie get save money sandra bullocks wardrobe dragging clothes miss congeniality ms bullock also get sleepwalk role channeling gracie hart many reviewers noted film formulaic add deja vu viewer experiences character cassie maywether somewhat darker gracie hart back story rapidly become snooze festbr br two bad boy serial killers done better films good guy partner trying protect partner despite evidence character seen fact none characters film ever get beyond two dimensions try anything trite stereotypesbr br one last peeve using term serial killer false advertising murdering one person even premeditated murder make serial killer may potential become serial killer serial killer even spree killer,negative,negative,0.9982566237449646,0.16669416427612305
imagine real hitler master propaganda speech would mumbling moron carlyle portrayed filmbr br nobody would followed even desperate unemployed guy sbr br hollywood cardboard piece propaganda disguised true historybr br pity everyone actually believed anything show carlyle producers didnt get anything right thisbr br hitler able win many people whole county ideas sausage people follow death portraying loser make film totally unbelievable film mixture old ww propaganda mtv urban myths one important persons last century imagine film churchill director shows drunkard mins br br film disgrace wonder could talk actor like carlyle dreck,negative,negative,0.9976457953453064,0.28209757804870605
idea audience director george schlatter hoped sell comedyofills redd foxx central role enough pimpy outfits polyester carpet entire norman plays like blaxploitation picture combined number silly sitcom episodes involving comic misunderstandings mention elongated cameo waylon flowers based play sam bobrick ron clark tale estranged married couple foxx pearl bailey learning hard way son secretly gayand living mincing prancing white homosexualhas enough limpwristed jokes shame early episode threes company bailey keeps dignity foxxs sheer confusion good couple chuckles rest performers humiliated,negative,negative,0.9959321618080139,0.3126697540283203
one last films directed lionel barrymore ten cents dance stars barbara stanwyck dancehall girl barbara sixth role stanwyck looks quite plainjane one opens getting chewed dance hall manager along comes rich guy bradley carlton ricardo cortez wants sweep feet cortez stanwyck made three films together meets eddie whos different dashing carlton writer jo swerling worked biggies wonderful life guys dolls gone wind surprised characters script ordinary story starts getting interesting halfway thru similar bride walks also starring stanwyck tbwo much clever also tame due onslaught hays code,positive,positive,0.7258853316307068,0.20389747619628906
one great movies time story fascinating actors convincing really identify characters william wyler proofs movie great director craftsmanship unsurpassed,positive,positive,0.9986656904220581,0.056036949157714844
dear god kept waiting movie get started waited redeem neither sat dumbfounded could possibly bad wasted couple hours sheer stupidity faith drew couldnt possibly made bad movie boy ever lose faith dont bother one drew tried movie poorly written poorly acted poorly conceived cant believe script bad ever got funded million chances actually something idea word concept big movie even qualify still didnt go anyplace pitiful reviewer got idea wasnt worst baffles believe got worse id slit wrists finishing,negative,negative,0.9992114305496216,0.1358017921447754
ed coincidentally editor hired cut horror films favorable europe standards much rigorous finds films minddestroying starts going little bit mad okay little bit might understatementbr br let say first best opening scene ever man office blows head grenade boss says straight face youre fired entire film keep level intensity certainly triesbr br take shotgun scenes decapitation clips lost limbs friend jason wishes real film writer film thought idea woman gets raped beaver immediately gets shot face bazooka something wont find movie least im pretty doubtful willbr br films biggest flaw quality picture isnt crisp film sound could touched though bad thought watching film although gave bit boost mind film also style writing directing sense fun giving audience little something extra top miss daysbr br wish say though moment think anything strong enough praise film think ought see youve seen box video store ax splitting head maybe youve passed times maybe thought would cheesy pick savor,positive,negative,0.9838878512382507,0.2400979995727539
sydney lumet hasnt box office hit years yet managed churn tight wellcast suspenseful thriller set old stamping ground new york city got insurance let alone budget flops mystery also story pretty grim one characters particularly likable held edge seat till final scenebr br two brothers pressing financial problems conspire rob suburban jewelry store owned elderly parents victim going insurance company robbery goes awry two people die film concerned aftermath action nonlinear seen main characters differing points view difficult follow easy work back story brothers get mess clues younger brother baby family fathers favorite older brother seems carrying lot baggage relationship father vice versa hardly accounts becoming heroinusing murdering embezzlerbr br scheming older brother corpulent philip seymour hoffman dominates film well supported ethan hawke bullied inadequate younger brother albert finney father seems constant state rage script calls marisa tomei older brothers cheating wife age puts sexiest performance ive seen many year film literally starts bang comfort zone pretty quicklybr br dont know origins story first time scriptwriter kelly masterton suspect like lumets great film dog day afternoon based fact silly untrue lumet last immensely versatile oldtime craftsman studio directors immense speed able direct anything put front great films produced way well classic turkeys isnt classic either sort wellcrafted piece downbeat entertainment probably leave feeling lucky member family dysfunctional one still wondering got way know parents happy see little mother hear little impossible pick relationship boys also daughter whose presence seems redundant well like tolstoy conclude unhappy family unhappy way,positive,negative,0.9579925537109375,0.566939115524292
owes great deal plot captains courageous although quite grown partly story wealthy lad shanghaied crew member aboard cargo vessel becomes man process moran title boyish young woman also brought vessel owned father cargo burns crew members evacuated lads ship however captain smuggling mind intentions honorable moran concerned inevitable ensues lad falls mannish moran end evil subdued lovers united interesting dialogue points moran belongs man woman nod sappho dorothy dalton appropriately sexless moran attractive either valentino well romantic action role sexy build physique shown advantage role quite masculine one appealing great film passes time really showcases valentinos beauty sexiness,negative,positive,0.9970261454582214,0.17398715019226074
